,Word,Rating,Year,Ship,Line,Negative,Positive,Total
2774,credit card companyi,bad,2011,MSC Fantasia,Msc,1.0,0.0,1.0
2775,credit card details,good,2011,MSC Orchestra,Msc,0.0,1.0,1.0
2776,credit card statement,bad,2010,MSC Splendida,Msc,1.0,0.0,1.0
2777,credit cardi,bad,2011,MSC Poesia,Msc,1.0,0.0,1.0
2778,credit slip,bad,2009,MSC Orchestra,Msc,1.0,0.0,1.0
2779,creme brulee,good,2009,MSC Orchestra,Msc,0.0,1.0,1.0
2780,crew,bad,2008,MSC Orchestra,Msc,1.0,0.0,1.0
2781,crew,bad,2009,MSC Lirica,Msc,1.0,0.0,1.0
2782,crew,bad,2013,MSC Poesia,Msc,0.0,1.0,1.0
2783,crew,good,2012,MSC Poesia,Msc,0.0,1.0,1.0
2784,crew,good,2013,MSC Divina,Msc,0.0,1.0,1.0
2785,crew,good,2013,MSC Magnifica,Msc,0.0,1.0,1.0
2786,crew,good,2014,MSC Divina,Msc,0.0,1.0,1.0
2787,crew,good,2015,MSC Divina,Msc,0.0,2.0,2.0
2788,crew bad reviews,good,2014,MSC Divina,Msc,1.0,0.0,1.0
2789,crew helpfulness,good,2012,MSC Fantasia,Msc,1.0,0.0,1.0
2790,crew member,bad,2010,MSC Poesia,Msc,1.0,0.0,1.0
2791,crew member,good,2008,MSC Lirica,Msc,1.0,0.0,1.0
2792,crew member,good,2009,MSC Poesia,Msc,1.0,0.0,1.0
2793,crew member,good,2014,MSC Divina,Msc,0.0,2.0,2.0
2794,crew member lead,good,2015,MSC Divina,Msc,0.0,1.0,1.0
2795,crew members,bad,2013,MSC Poesia,Msc,0.0,1.0,1.0
2796,crew members,bad,2014,MSC Divina,Msc,4.0,0.0,4.0
2797,crew members,bad,2014,MSC Preziosa,Msc,1.0,0.0,1.0
2798,crew members,good,2009,MSC Poesia,Msc,1.0,0.0,1.0
2799,crew members,good,2014,MSC Divina,Msc,1.0,2.0,3.0
2800,crew members yell,bad,2009,MSC Orchestra,Msc,1.0,0.0,1.0
2801,crew people,bad,2014,MSC Poesia,Msc,1.0,0.0,1.0
2802,crew pleasant,good,2012,MSC Lirica,Msc,0.0,1.0,1.0
2803,crew rates,good,2010,MSC Poesia,Msc,0.0,1.0,1.0
2804,crew work,good,2009,MSC Orchestra,Msc,0.0,1.0,1.0
2805,crews,bad,2009,MSC Poesia,Msc,1.0,0.0,1.0
2806,crews way,bad,2009,MSC Orchestra,Msc,1.0,0.0,1.0
2807,criminal offence,bad,2013,MSC Armonia,Msc,1.0,0.0,1.0
2808,crisp romaine lettuce,good,2011,MSC Poesia,Msc,0.0,1.0,1.0
2809,crispy bacon,good,2014,MSC Musica,Msc,0.0,1.0,1.0
2810,critical reviews,good,2012,MSC Armonia,Msc,0.0,1.0,1.0
2811,croatia,good,2012,MSC Musica,Msc,0.0,1.0,1.0
2812,croatia money,good,2010,MSC Magnifica,Msc,0.0,1.0,1.0
2813,crockery,bad,2012,MSC Opera,Msc,1.0,0.0,1.0
2814,croissants,good,2010,MSC Magnifica,Msc,0.0,1.0,1.0
2815,crook whole time,good,2010,MSC Splendida,Msc,1.0,0.0,1.0
2816,cross family fun,good,2013,MSC Fantasia,Msc,0.0,1.0,1.0
